
0,0.96752,0.9717,8.0E-5,0.98819,0.26025,0.7339,Manager, Other, incorrect
0.2305,0.56379,0.23535,0.92669,0.37253,0.17926,0.43548,Trader, Trader, correct
3.0E-5,7.0E-5,1,0,0.99955,0.64712,0.99683,Vice President, Employee, incorrect
0.55911,0.15077,0.87731,0.07658,0.0574,0.92359,0.18779,Employee, Employee, correct
0.32051,0.12409,0.92239,0.04888,0.10034,0.95383,0.13054,Employee, Employee, correct
0.21891,0.03009,0.98525,0.00445,0.03728,0.9839,0.46756,Vice President, Employee, incorrect
0.98684,0,0.9999,0,0.2914,0.95954,0.45515,Vice President, Employee, incorrect
0.91234,0.00704,0.96586,0.01797,0.0079,0.69291,0.12345,Vice President, Employee, incorrect
0.4615,0.22608,0.80833,0.10539,0.08513,0.94304,0.14833,Employee, Employee, correct
0.69434,0.00242,0.99982,1.0E-5,0.01636,0.99468,0.2632,Vice President, Employee, incorrect
0.54392,0.26257,0.91482,0.08449,0.16771,0.94932,0.11012,Employee, Employee, correct
0.44382,0.3484,0.93944,0.03521,0.2012,0.95739,0.10894,Employee, Employee, correct
0.38837,0.10437,0.93497,0.02532,0.02946,0.95405,0.19982,Employee, Employee, correct
0.17349,0.32893,0.75767,0.01646,0.22692,0.9362,0.28532,Employee, Employee, correct
0.47432,0.21913,0.84478,0.07396,0.07104,0.9487,0.16478,Employee, Employee, correct
0.57752,0.16853,0.84412,0.02763,0.19472,0.89422,0.0696,Employee, Employee, correct
0.46098,0.25621,0.88211,0.04512,0.07685,0.92783,0.16591,Employee, Employee, correct
0.30191,0.16494,0.87283,0.06536,0.06685,0.9638,0.21364,Employee, Employee, correct
0.24312,0.31453,0.84691,0.11885,0.0819,0.937,0.16331,Employee, Employee, correct
0.35324,0.09905,0.93615,0.01575,0.10734,0.94932,0.19026,Employee, Employee, correct
0.00443,0.00547,1,0,2.0E-5,0.9974,0.99684,Vice President, Employee, incorrect
0.13332,0.10913,0.9204,0.01629,0.15615,0.96807,0.27209,Employee, Employee, correct
0.43165,0.22401,0.82404,0.11247,0.07776,0.94423,0.15429,Employee, Employee, correct
0.84542,0.00132,0.98252,0.01002,0.03121,0.9529,0.13886,Vice President, Employee, incorrect
0.36934,0.08208,0.95818,0.0042,0.16156,0.94377,0.18627,Vice President, Employee, incorrect
0.53425,0.05955,0.93684,0.00425,0.17761,0.94647,0.15638,Employee, Employee, correct
